"Dataset","Model","Class","Precision","Recall","F1_score","Support","Accuracy"
"Newborn","Random Forest Classifier - Target",">6",0.696071674707099,0.790916209866875,0.740469208211144,1277,0.59225
"Newborn","Random Forest Classifier - Target","1",0.674922600619195,0.151178918169209,0.247025495750708,1442,0.59225
"Newborn","Random Forest Classifier - Target","2",0.598926380368098,0.953601953601954,0.735751295336788,10647,0.59225
"Newborn","Random Forest Classifier - Target","3",0.375,0.078191814294441,0.129401853411963,4911,0.59225
"Newborn","Random Forest Classifier - Target","4-6",0.32,0.0464306442251886,0.0810947795235682,1723,0.59225
"Newborn","Random Forest Classifier - Target","Macro avg",0.532984131138878,0.404063908031534,0.386748526446834,20000,0.59225
"Newborn","Random Forest Classifier - Target","Weighted avg",0.531593804523649,0.59225,0.495527639621709,20000,0.59225
"Non-newborn","Random Forest Classifier - Target",">6",0.625743645213629,0.669850919091041,0.647046487242223,6909,0.453033333333333
"Non-newborn","Random Forest Classifier - Target","1",0.436614173228346,0.475048190190619,0.455021027797723,4669,0.453033333333333
"Non-newborn","Random Forest Classifier - Target","2",0.43440122044241,0.376778035064505,0.403542958370239,6046,0.453033333333333
"Non-newborn","Random Forest Classifier - Target","3",0.524208566108007,0.10632672332389,0.176793845187628,5295,0.453033333333333
"Non-newborn","Random Forest Classifier - Target","4-6",0.348384793860432,0.551334557265923,0.426969978673374,7081,0.453033333333333
"Non-newborn","Random Forest Classifier - Target","Macro avg",0.473870479770565,0.435867684987196,0.421874859454237,30000,0.453033333333333
"Non-newborn","Random Forest Classifier - Target","Weighted avg",0.474360042708218,0.453033333333333,0.433141863823507,30000,0.453033333333333
