"Dataset","Node","Variable","N","Predicted_LOS","Complexity"
"Newborn",1,"Birth.Weight",60000,3.85025,0.438916607633452
"Newborn",2,"APR.DRG.Code",59050,3.1472650296359,0.0572638886866217
"Newborn",3,"Patient.Disposition",950,47.5463157894737,0.0630589340890723
"Newborn",4,"APR.Severity.of.Illness.Code",56990,2.76360765046499,0.0234179600703319
"Newborn",5,"APR.DRG.Code",2060,13.7611650485437,0.0173383245057751
"Newborn",6,"<leaf>",213,17.1267605633803,5e-04
"Newborn",7,"Birth.Weight",737,56.3378561736771,0.0630589340890723
"Newborn",8,"APR.DRG.Code",56816,2.69091453111799,0.0106102109192084
"Newborn",9,"<leaf>",174,26.5,5e-04
"Newborn",10,"<leaf>",387,1.40051679586563,5e-04
"Newborn",11,"APR.Severity.of.Illness.Code",1673,16.6204423191871,0.0166594686989337
"Newborn",14,"APR.DRG.Code",457,41.2035010940919,0.00987195043651834
"Newborn",15,"<leaf>",280,81.0392857142857,5e-04
"Newborn",16,"<leaf>",50912,2.38935810810811,5e-04
"Newborn",17,"<leaf>",5904,5.29132791327913,5e-04
"Newborn",22,"<leaf>",1314,13.2404870624049,5e-04
"Newborn",23,"<leaf>",359,28.991643454039,5e-04
"Newborn",28,"<leaf>",187,29.75935828877,5e-04
"Newborn",29,"<leaf>",270,49.1296296296296,5e-04
"Non-newborn",1,"APR.Severity.of.Illness.Code",80000,5.6770875,0.103866115118953
"Non-newborn",2,"CCS.Diagnosis.Code",74262,4.94181411758369,0.0385818872751533
"Non-newborn",3,"APR.DRG.Code",5738,15.1930986406413,0.0495659172398932
"Non-newborn",4,"APR.Severity.of.Illness.Code",65679,4.33692656709146,0.0302226906378826
"Non-newborn",5,"APR.DRG.Code",8583,9.57054642898753,0.0155299195876861
"Non-newborn",6,"APR.Medical.Surgical.Description",5521,13.8404274587937,0.0127330828900637
"Non-newborn",7,"<leaf>",217,49.6082949308756,5e-04
"Non-newborn",8,"<leaf>",47206,3.35181968393848,5e-04
"Non-newborn",9,"<leaf>",18473,6.85427380501272,5e-04
"Non-newborn",10,"<leaf>",6728,7.93088585017836,5e-04
"Non-newborn",11,"<leaf>",1855,15.5175202156334,5e-04
"Non-newborn",12,"<leaf>",3789,11.4568487727633,5e-04
"Non-newborn",13,"<leaf>",1732,19.0548498845266,5e-04
