"Dataset","Rank","Feature","Importance"
"Newborn",1,"Birth.Weight",1022486.07920905
"Newborn",2,"APR.DRG.Code",949581.186846541
"Newborn",3,"APR.Severity.of.Illness.Code",488898.463467181
"Newborn",4,"Patient.Disposition",259145.95798089
"Newborn",5,"APR.Risk.of.Mortality",225509.802877158
"Newborn",6,"CCS.Procedure.Code",111446.324878826
"Newborn",7,"APR.Medical.Surgical.Description",110160.095976286
"Newborn",8,"Facility.Id",56019.5699330269
"Newborn",9,"Zip.Code...3.digits",54954.4834484603
"Newborn",10,"Operating.Certificate.Number",52241.1749282539
"Newborn",11,"Facility.Name",52037.4582736605
"Newborn",12,"Hospital.County",35277.1259100588
"Newborn",13,"CCS.Diagnosis.Code",33806.9821124115
"Newborn",14,"Payment.Typology.1",24241.7220388632
"Newborn",15,"Health.Service.Area",20738.0789380188
"Newborn",16,"Type.of.Admission",20093.5240021519
"Newborn",17,"Ethnicity",16281.3690314588
"Newborn",18,"Race",16052.0158666835
"Newborn",19,"Gender",8380.82810850467
"Newborn",20,"Emergency.Department.Indicator",2455.47034077169
"Non-newborn",1,"APR.DRG.Code",527961.991986912
"Non-newborn",2,"APR.Severity.of.Illness.Code",433001.410294665
"Non-newborn",3,"CCS.Diagnosis.Code",243826.547801321
"Non-newborn",4,"Patient.Disposition",235699.397518083
"Non-newborn",5,"APR.Risk.of.Mortality",219892.789461047
"Non-newborn",6,"CCS.Procedure.Code",202019.673974531
"Non-newborn",7,"APR.MDC.Code",197419.177194157
"Non-newborn",8,"Facility.Name",125725.531401915
"Non-newborn",9,"Facility.Id",121151.076703256
"Non-newborn",10,"Operating.Certificate.Number",110936.706881525
"Non-newborn",11,"APR.Medical.Surgical.Description",108482.151483736
"Non-newborn",12,"Zip.Code...3.digits",108243.783085491
"Non-newborn",13,"Age.Group",75794.3161504388
"Non-newborn",14,"Type.of.Admission",66629.4752343528
"Non-newborn",15,"Hospital.County",60136.3108517036
"Non-newborn",16,"Payment.Typology.1",58692.4925946889
"Non-newborn",17,"Race",38402.1496962848
"Non-newborn",18,"Emergency.Department.Indicator",37921.5844499733
"Non-newborn",19,"Health.Service.Area",35557.5410494442
"Non-newborn",20,"Ethnicity",23184.0001732869
